datetime,close,high,low,open,position,volume,symbol,symbol_group,asset_class
2017-06-06 00:00:00+00:00,152.67,154.02,152.01,152.13,0,26624900,AAPL,AAPL,STK
2017-06-07 00:00:00+00:00,153.58,154.18,152.7,153.24,0,21069600,AAPL,AAPL,STK
2017-06-08 00:00:00+00:00,153.21,153.75,152.62,153.46,0,21250800,AAPL,AAPL,STK
2017-06-09 00:00:00+00:00,147.27,153.4,144.34,153.4,0,64882700,AAPL,AAPL,STK
2017-06-10 00:00:00+00:00,147.27,147.27,147.27,147.27,0,0,AAPL,AAPL,STK
2017-06-11 00:00:00+00:00,147.27,147.27,147.27,147.27,0,0,AAPL,AAPL,STK
2017-06-12 00:00:00+00:00,143.75,144.41,140.87,144.06,0,72307300,AAPL,AAPL,STK
2017-06-13 00:00:00+00:00,144.9,145.75,143.48,145.47,0,34165400,AAPL,AAPL,STK
2017-06-14 00:00:00+00:00,143.49,145.8,142.18,145.8,0,31531200,AAPL,AAPL,STK
2017-06-15 00:00:00+00:00,142.63,142.82,140.57,141.67,0,32165400,AAPL,AAPL,STK
2017-06-16 00:00:00+00:00,140.63,142.84,140.56,142.13,0,50361100,AAPL,AAPL,STK
2017-06-17 00:00:00+00:00,140.63,140.63,140.63,140.63,0,0,AAPL,AAPL,STK
2017-06-18 00:00:00+00:00,140.63,140.63,140.63,140.63,0,0,AAPL,AAPL,STK
2017-06-19 00:00:00+00:00,144.66,145.05,142.01,142.01,0,32541400,AAPL,AAPL,STK
2017-06-20 00:00:00+00:00,143.34,145.18,143.27,145.18,0,24900100,AAPL,AAPL,STK
2017-06-21 00:00:00+00:00,144.19,144.39,142.95,143.85,0,21265800,AAPL,AAPL,STK
2017-06-22 00:00:00+00:00,143.95,145.01,143.45,144.09,0,19106300,AAPL,AAPL,STK
2017-06-23 00:00:00+00:00,144.6,145.47,143.44,143.46,0,35439400,AAPL,AAPL,STK
2017-06-24 00:00:00+00:00,144.6,144.6,144.6,144.6,0,0,AAPL,AAPL,STK
2017-06-25 00:00:00+00:00,144.6,144.6,144.6,144.6,0,0,AAPL,AAPL,STK
2017-06-26 00:00:00+00:00,144.14,146.57,143.71,145.48,0,25692400,AAPL,AAPL,STK
2017-06-27 00:00:00+00:00,142.08,144.48,141.97,143.34,0,24761900,AAPL,AAPL,STK
2017-06-28 00:00:00+00:00,144.15,144.43,141.51,142.83,0,22082400,AAPL,AAPL,STK
2017-06-29 00:00:00+00:00,142.03,143.46,140.64,143.04,0,31499400,AAPL,AAPL,STK
2017-06-30 00:00:00+00:00,142.36,143.29,142.13,142.79,0,23024100,AAPL,AAPL,STK
2017-07-01 00:00:00+00:00,142.36,142.36,142.36,142.36,0,0,AAPL,AAPL,STK
2017-07-02 00:00:00+00:00,142.36,142.36,142.36,142.36,0,0,AAPL,AAPL,STK
2017-07-03 00:00:00+00:00,141.85,143.63,141.45,143.21,0,14258300,AAPL,AAPL,STK
2017-07-04 00:00:00+00:00,141.85,141.85,141.85,141.85,0,0,AAPL,AAPL,STK
2017-07-05 00:00:00+00:00,142.43,143.12,141.08,142.04,0,21569600,AAPL,AAPL,STK
2017-07-06 00:00:00+00:00,141.09,141.85,140.77,141.37,0,24128800,AAPL,AAPL,STK
2017-07-07 00:00:00+00:00,142.52,143.08,141.26,141.26,0,19201700,AAPL,AAPL,STK
2017-07-08 00:00:00+00:00,142.52,142.52,142.52,142.52,0,0,AAPL,AAPL,STK
2017-07-09 00:00:00+00:00,142.52,142.52,142.52,142.52,0,0,AAPL,AAPL,STK
2017-07-10 00:00:00+00:00,143.39,144.27,141.72,142.45,0,21090600,AAPL,AAPL,STK
2017-07-11 00:00:00+00:00,143.85,144.17,142.72,143.06,0,19781800,AAPL,AAPL,STK
2017-07-12 00:00:00+00:00,144.06,144.5,143.15,144.19,0,24884500,AAPL,AAPL,STK
2017-07-13 00:00:00+00:00,146.07,146.78,143.77,143.83,0,25199400,AAPL,AAPL,STK
2017-07-14 00:00:00+00:00,147.32,147.61,145.63,146.27,0,20132100,AAPL,AAPL,STK
2017-07-15 00:00:00+00:00,147.32,147.32,147.32,147.32,0,0,AAPL,AAPL,STK
2017-07-16 00:00:00+00:00,147.32,147.32,147.32,147.32,0,0,AAPL,AAPL,STK
2017-07-17 00:00:00+00:00,147.84,149.16,146.86,147.11,0,23793500,AAPL,AAPL,STK
2017-07-18 00:00:00+00:00,148.35,148.4,146.96,147.48,0,17868800,AAPL,AAPL,STK
2017-07-19 00:00:00+00:00,149.28,149.68,148.22,148.75,0,20923000,AAPL,AAPL,STK
2017-07-20 00:00:00+00:00,148.61,149.99,148.46,149.76,0,17243700,AAPL,AAPL,STK
2017-07-21 00:00:00+00:00,148.54,148.71,147.17,148.26,0,26252600,AAPL,AAPL,STK
2017-07-22 00:00:00+00:00,148.54,148.54,148.54,148.54,0,0,AAPL,AAPL,STK
2017-07-23 00:00:00+00:00,148.54,148.54,148.54,148.54,0,0,AAPL,AAPL,STK
2017-07-24 00:00:00+00:00,150.34,150.69,148.17,148.85,0,21493200,AAPL,AAPL,STK
2017-07-25 00:00:00+00:00,150.98,152.07,150.05,150.05,0,18853900,AAPL,AAPL,STK
2017-07-26 00:00:00+00:00,151.69,152.16,151.3,151.58,0,15781000,AAPL,AAPL,STK
2017-07-27 00:00:00+00:00,148.83,152.22,145.6,151.98,0,32476300,AAPL,AAPL,STK
2017-07-28 00:00:00+00:00,147.78,148.5,147.47,148.16,0,17213700,AAPL,AAPL,STK
2017-07-29 00:00:00+00:00,147.78,147.78,147.78,147.78,0,0,AAPL,AAPL,STK
2017-07-30 00:00:00+00:00,147.78,147.78,147.78,147.78,0,0,AAPL,AAPL,STK
2017-07-31 00:00:00+00:00,147.02,148.6,146.43,148.17,0,19845900,AAPL,AAPL,STK
2017-08-01 00:00:00+00:00,148.32,148.49,146.7,147.38,0,35368600,AAPL,AAPL,STK
2017-08-02 00:00:00+00:00,155.33,157.91,154.36,157.45,0,69936800,AAPL,AAPL,STK
2017-08-03 00:00:00+00:00,153.78,155.4,153.24,155.24,0,27097300,AAPL,AAPL,STK
2017-08-04 00:00:00+00:00,154.59,155.59,153.9,154.27,0,20559900,AAPL,AAPL,STK
2017-08-05 00:00:00+00:00,154.59,154.59,154.59,154.59,0,0,AAPL,AAPL,STK
2017-08-06 00:00:00+00:00,154.59,154.59,154.59,154.59,0,0,AAPL,AAPL,STK
2017-08-07 00:00:00+00:00,156.98,157.09,154.87,155.25,0,21870300,AAPL,AAPL,STK
2017-08-08 00:00:00+00:00,158.24,159.97,156.45,156.77,0,36205900,AAPL,AAPL,STK
2017-08-09 00:00:00+00:00,159.21,159.41,157.28,157.43,0,26131500,AAPL,AAPL,STK
2017-08-10 00:00:00+00:00,154.14,158.78,153.45,158.68,0,40804300,AAPL,AAPL,STK
2017-08-11 00:00:00+00:00,156.28,157.36,154.88,155.41,0,26257100,AAPL,AAPL,STK
2017-08-12 00:00:00+00:00,156.28,156.28,156.28,156.28,0,0,AAPL,AAPL,STK
2017-08-13 00:00:00+00:00,156.28,156.28,156.28,156.28,0,0,AAPL,AAPL,STK
2017-08-14 00:00:00+00:00,158.63,158.99,157.54,158.1,0,22122700,AAPL,AAPL,STK
2017-08-15 00:00:00+00:00,160.37,160.96,158.92,159.43,0,29465500,AAPL,AAPL,STK
2017-08-16 00:00:00+00:00,159.72,161.27,158.93,160.7,0,27671600,AAPL,AAPL,STK
2017-08-17 00:00:00+00:00,156.66,159.48,156.64,159.3,0,27940600,AAPL,AAPL,STK
2017-08-18 00:00:00+00:00,156.3,158.28,155.52,156.66,0,27428100,AAPL,AAPL,STK
2017-08-19 00:00:00+00:00,156.3,156.3,156.3,156.3,0,0,AAPL,AAPL,STK
2017-08-20 00:00:00+00:00,156.3,156.3,156.3,156.3,0,0,AAPL,AAPL,STK
2017-08-21 00:00:00+00:00,156.01,156.69,153.93,156.3,0,26368500,AAPL,AAPL,STK
2017-08-22 00:00:00+00:00,158.56,158.78,156.81,157.02,0,21604600,AAPL,AAPL,STK
2017-08-23 00:00:00+00:00,158.76,159.25,157.67,157.86,0,19399100,AAPL,AAPL,STK
2017-08-24 00:00:00+00:00,158.06,159.51,157.34,159.21,0,19818900,AAPL,AAPL,STK
2017-08-25 00:00:00+00:00,158.64,159.34,158.06,158.43,0,25480100,AAPL,AAPL,STK
2017-08-26 00:00:00+00:00,158.64,158.64,158.64,158.64,0,0,AAPL,AAPL,STK
2017-08-27 00:00:00+00:00,158.64,158.64,158.64,158.64,0,0,AAPL,AAPL,STK
2017-08-28 00:00:00+00:00,160.24,160.76,158.71,158.92,0,25966000,AAPL,AAPL,STK
2017-08-29 00:00:00+00:00,161.67,161.88,158.78,158.88,0,29516900,AAPL,AAPL,STK
2017-08-30 00:00:00+00:00,162.1,162.64,161.37,162.55,0,27269600,AAPL,AAPL,STK
2017-08-31 00:00:00+00:00,162.75,163.27,162.23,162.39,0,26785100,AAPL,AAPL,STK
2017-09-01 00:00:00+00:00,162.8,163.68,162.38,163.54,0,16591100,AAPL,AAPL,STK
2017-09-02 00:00:00+00:00,162.8,162.8,162.8,162.8,0,0,AAPL,AAPL,STK
2017-09-03 00:00:00+00:00,162.8,162.8,162.8,162.8,0,0,AAPL,AAPL,STK
2017-09-04 00:00:00+00:00,162.8,162.8,162.8,162.8,0,0,AAPL,AAPL,STK
2017-09-05 00:00:00+00:00,160.84,163.0,159.34,162.5,0,29468500,AAPL,AAPL,STK
2017-09-06 00:00:00+00:00,160.67,161.75,159.3,161.47,0,21651700,AAPL,AAPL,STK
2017-09-07 00:00:00+00:00,160.03,161.0,159.14,160.85,0,21928500,AAPL,AAPL,STK
2017-09-08 00:00:00+00:00,157.42,159.92,157.32,159.63,0,28611500,AAPL,AAPL,STK
2017-09-09 00:00:00+00:00,157.42,157.42,157.42,157.42,0,0,AAPL,AAPL,STK
2017-09-10 00:00:00+00:00,157.42,157.42,157.42,157.42,0,0,AAPL,AAPL,STK
2017-09-11 00:00:00+00:00,160.27,160.81,158.67,159.28,0,31085900,AAPL,AAPL,STK
2017-09-12 00:00:00+00:00,159.63,162.71,157.56,161.37,0,71714000,AAPL,AAPL,STK
2017-09-13 00:00:00+00:00,158.43,158.74,156.71,158.65,0,44907400,AAPL,AAPL,STK
2017-09-14 00:00:00+00:00,157.07,158.18,156.88,157.78,0,23760700,AAPL,AAPL,STK
2017-09-15 00:00:00+00:00,158.66,159.74,156.79,157.26,0,49114600,AAPL,AAPL,STK
2017-09-16 00:00:00+00:00,158.66,158.66,158.66,158.66,0,0,AAPL,AAPL,STK
2017-09-17 00:00:00+00:00,158.66,158.66,158.66,158.66,0,0,AAPL,AAPL,STK
2017-09-18 00:00:00+00:00,157.46,159.28,156.79,158.89,0,28269400,AAPL,AAPL,STK
2017-09-19 00:00:00+00:00,157.52,158.55,157.23,158.29,0,20810600,AAPL,AAPL,STK
2017-09-20 00:00:00+00:00,154.88,157.05,152.66,156.7,0,52951400,AAPL,AAPL,STK
2017-09-21 00:00:00+00:00,152.22,154.61,151.58,154.61,0,37511700,AAPL,AAPL,STK
2017-09-22 00:00:00+00:00,150.73,151.11,149.41,150.38,0,46645400,AAPL,AAPL,STK
2017-09-23 00:00:00+00:00,150.73,150.73,150.73,150.73,0,0,AAPL,AAPL,STK
2017-09-24 00:00:00+00:00,150.73,150.73,150.73,150.73,0,0,AAPL,AAPL,STK
2017-09-25 00:00:00+00:00,149.4,150.67,148.02,148.85,0,44387300,AAPL,AAPL,STK
2017-09-26 00:00:00+00:00,151.97,152.75,150.53,150.62,0,36660000,AAPL,AAPL,STK
2017-09-27 00:00:00+00:00,153.05,153.54,152.37,152.63,0,25504200,AAPL,AAPL,STK
