datetime,symbol,open,high,low,close,volume,symbol_group,asset_class,expiry
2017-05-04 00:00:00+00:00,AAPL,144.24,144.85,143.54,144.25,23371900,AAPL,STK,
2017-05-05 00:00:00+00:00,AAPL,144.47,146.66,144.47,146.64,27327700,AAPL,STK,
2017-05-08 00:00:00+00:00,AAPL,146.71,151.31,146.71,150.63,48752400,AAPL,STK,
2017-05-09 00:00:00+00:00,AAPL,151.47,152.47,151.06,151.59,39130400,AAPL,STK,
2017-05-10 00:00:00+00:00,AAPL,151.24,151.54,149.74,150.87,25805700,AAPL,STK,
2017-05-11 00:00:00+00:00,AAPL,150.7,152.3,150.56,152.18,27255100,AAPL,STK,
2017-05-12 00:00:00+00:00,AAPL,152.92,154.62,152.89,154.3,32527000,AAPL,STK,
2017-05-15 00:00:00+00:00,AAPL,154.21,154.85,153.27,153.91,26009700,AAPL,STK,
2017-05-16 00:00:00+00:00,AAPL,154.15,154.26,152.94,153.68,20048500,AAPL,STK,
2017-05-17 00:00:00+00:00,AAPL,151.83,152.79,147.99,148.52,50767700,AAPL,STK,
2017-05-18 00:00:00+00:00,AAPL,149.53,151.58,149.39,150.78,33568200,AAPL,STK,
2017-05-19 00:00:00+00:00,AAPL,151.61,152.21,150.87,151.3,26960800,AAPL,STK,
2017-05-22 00:00:00+00:00,AAPL,152.23,152.8,151.15,152.22,22966400,AAPL,STK,
2017-05-23 00:00:00+00:00,AAPL,153.12,153.12,151.55,152.03,19918900,AAPL,STK,
2017-05-24 00:00:00+00:00,AAPL,152.07,152.4,150.91,151.58,19178000,AAPL,STK,
2017-05-25 00:00:00+00:00,AAPL,151.96,152.57,151.27,152.1,19235600,AAPL,STK,
2017-05-26 00:00:00+00:00,AAPL,152.23,152.46,151.55,151.84,21701100,AAPL,STK,
2017-05-30 00:00:00+00:00,AAPL,151.65,152.65,151.57,151.9,20126900,AAPL,STK,
2017-05-31 00:00:00+00:00,AAPL,152.2,152.4,150.63,151.0,24451200,AAPL,STK,
2017-06-01 00:00:00+00:00,AAPL,151.41,151.57,150.47,151.42,16404100,AAPL,STK,
2017-06-02 00:00:00+00:00,AAPL,151.81,153.66,151.13,153.66,27770700,AAPL,STK,
2017-06-05 00:00:00+00:00,AAPL,152.56,152.67,151.69,152.16,25331700,AAPL,STK,
2017-06-06 00:00:00+00:00,AAPL,152.13,154.02,152.01,152.67,26624900,AAPL,STK,
2017-06-07 00:00:00+00:00,AAPL,153.24,154.18,152.7,153.58,21069600,AAPL,STK,
2017-06-08 00:00:00+00:00,AAPL,153.46,153.75,152.62,153.21,21250800,AAPL,STK,
2017-06-09 00:00:00+00:00,AAPL,153.4,153.4,144.34,147.27,64882700,AAPL,STK,
2017-06-12 00:00:00+00:00,AAPL,144.06,144.41,140.87,143.75,72307300,AAPL,STK,
2017-06-13 00:00:00+00:00,AAPL,145.47,145.75,143.48,144.9,34165400,AAPL,STK,
2017-06-14 00:00:00+00:00,AAPL,145.8,145.8,142.18,143.49,31531200,AAPL,STK,
2017-06-15 00:00:00+00:00,AAPL,141.67,142.82,140.57,142.63,32165400,AAPL,STK,
2017-06-16 00:00:00+00:00,AAPL,142.13,142.84,140.56,140.63,50361100,AAPL,STK,
2017-06-19 00:00:00+00:00,AAPL,142.01,145.05,142.01,144.66,32541400,AAPL,STK,
